,category1,category2,store_name,address,tel
0,식품접객업,일반음식점,카츠온반,"경기 고양시 일산동구 중앙로1275번길 60-30 113,114호",07077997079
1,식품접객업,휴게음식점,아워시즌,경기 화성시 10용사1길 49 1층 아워시즌,01022360284
2,식품접객업,일반음식점,다조아부대찌개,강원 속초시 중앙로 189 다조아부대찌개,033635535
3,식품접객업,휴게음식점,커피긱스,부산 연제구 교대로24번길 7 커피긱스,0515067581
4,식품접객업,일반음식점,초이스커피비어 ,부산 연제구 교대로 13 1층,0515030780
5,식품접객업,일반음식점,속초대게여왕,강원 속초시 중앙동 473-28 ,0336380888
6,식품접객업,휴게음식점,차오름,경남 창원시 의창구 사림로45번길 59 1층 북카페 차오름,0557135953
7,식품접객업,일반음식점,빽다방 대구칠곡학정점 ,대구 북구 학정로 522-1 1층 101호,0533256789
8,기타,,엘림커피엑스포점,강원 속초시 동해대로 4202 농협2층,0336356973
9,식품접객업,일반음식점,초이스,충북 제천시 의림대로47길 18 ,0436520482
10,식품접객업,일반음식점,부산인가배,부산 중구 백산길 20 카페이네이티드,0512506119
11,식품접객업,휴게음식점,바우,부산 중구 광복로97번길 6 1층 바우노바,0512533757
12,식품접객업,일반음식점,바우노바,부산 중구 백산길 9 2층 바우노바백산,0512533757
13,식품접객업,일반음식점,까페코나,부산 수영구 황령대로481번길 7 2층,0512652300
14,종합소매업,기타,주식회사 네모지구,경기 시흥시 능곡번영길 30 센텀시티 505호 네모지구,
15,식품접객업,휴게음식점,MAKE,경남 거제시 거제면 기성로 12 1층 make,01066826755
16,식품접객업,일반음식점,전주삼계탕,강원 속초시 노학동 1130-1 전주삼계탕,0336350402
17,종합소매업,기타,자주적관람,전북 군산시 구영5길 21-4 자주적관람,01042408508
18,기타,,바르게 비우고 바르게 채우는 가게_바비바채,경기 김포시 김포한강11로 107 상가동 1층 10호,01048494342
19,식품접객업,일반음식점,포레포라,충북 옥천군 군북면 감로길 24-9 1층,0437333363
20,식품접객업,휴게음식점,투썸플레이스횡성점,강원 횡성군 횡성읍 앞들서3로 5 2층 투썸플레이스,0333445900
21,식품접객업,휴게음식점,커피멜로우,인천 연수구 학나래로5번길 53 1층 커피멜로우,
22,식품접객업,일반음식점,월요일 아침,전북 전주시 완산구 장승배기로 145 상가 13호 카페 월요일 아침,01022326987
23,식품접객업,휴게음식점,카페더파머스,경기 이천시 마장면 마도로204번길 3 카페더파머스,0316384335
24,식품접객업,휴게음식점,피자마루 행신무원점,경기 고양시 덕양구 행신동 650 행신3차에스케이뷰아파트 상가 109호,0319380138
25,식품접객업,일반음식점,갓잇,경기 화성시 송동 726-1 라크몽 지하1층 C63호 갓잇,0313069451
26,종합소매업,편의점,세븐일레븐 제천신죽하로점,충북 제천시 신죽하로 57 1층,
27,식품접객업,일반음식점,군청식당,충북 충주시 금제1길 35-1 군청식당,01024072407
28,식품접객업,일반음식점,카페오티아,경기 안양시 동안구 관평로 183 102호 카페오티아,0313840700
29,식품접객업,휴게음식점,베러띵스,경기 수원시 권선구 매실로53번길 10-17 1층 베러띵스,
30,종합소매업,슈퍼마켓(165m2미만),일상공감_길음,서울 성북구 삼양로 27 1층,05071346119
